item_name,serving_size,household_serving,brand_name,ingredients,calories_(kcal),protein_(g),total_fat_(g),carbohydrates_(g),sugar_(g),fiber_(g),sodium_(mg),cholesterol_(mg),pakistani,meal_type
BASMATI RICE,125.0 g,0.5 PACKAGE,NATURE'S PROMISE,"COOKED BASMATI RICE, REFINED SUNFLOWER OIL, SPICES (CLOVE, GREEN CARDAMOM).",200.0,3.2,1.6,43.2,0.0,2.4,0.0,0.0,True,Lunch
BASMATI RICE,133.0 GRM,1 cup (133g),UNCLE BEN'S,"WATER, BASMATI RICE, CANOLA OIL AND/OR SUNFLOWER OIL, SOY LECITHIN, NIACIN, IRON (FERRIC ORTHOPHOSPHATE), THIAMINE (THIAMINE MONONITRATE), FOLATE (FOLIC ACID), ADDS A TRIVIAL AMOUNT OF SATURATED FAT",165.0,4.51,2.26,33.1,0.0,0.8,11.0,0.0,True,Lunch
BASMATI RICE,45.0 g,1/4 cup,GIANT EAGLE,BASMATI RICE.,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
BASMATI RICE,49.0 g,0.25 cup,GIANT EAGLE,WHITE BASMATI RICE.,347.0,8.16,0.0,79.6,0.0,2.0,0.0,0.0,True,Lunch
BASMATI RICE,50.0 g,0.25 cup,ROLAND,BASMATI RICE.,360.0,8.0,0.0,80.0,0.0,2.0,0.0,0.0,True,Lunch
BASMATI RICE,140.0 GRM,1/2 cup (140g),VEETEE,"WATER, BASMATI RICE, SUNFLOWER OIL, ACIDITY REGULATOR: GLUCONO DELTA LACTONE",136.0,2.86,2.14,26.4,0.0,0.7,29.0,0.0,True,Lunch
BASMATI RICE,45.0 g,0.25 cup,Not specified,INDIAN WHITE BASMATI RICE. ,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 GRM,1/4 cup (45g),CAROLINA,BASMATI RICE,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,46.0 GRM,"1/2 cup (46g dry rice, makes about 1 cup cooked)",MINUTE,PRECOOKED BASMATI RICE,348.0,8.7,0.0,78.3,0.0,0.0,54.0,0.0,True,Lunch
BASMATI RICE,45.0 g,0.25 cup,Not specified,OKRA.,367.0,6.67,0.0,88.9,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,0.25 cup,GOLDEN GROWN,100% BASMATI RICE.,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,0.25 cup,Not specified,OKRA.,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,48.0 g,0.25 cup,BOMBAY ORIGINAL,BASMATI RICE.,375.0,6.25,0.0,79.2,0.0,2.1,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,1/4 cup,Not specified,INGREDIENTS: BASMATI RICE,356.0,6.67,0.0,77.8,0.0,2.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,1/4 cup,SIMPLE EARTH,BASMATI WHITE RICE.,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",133.0 MG,1 Tbsp,UNCLE BEN'S,"WATER, BASMATI RICE, CANOLA OIL AND/OR SUNFLOWER OIL, SOY LECITHIN, NIACIN, IRON (FERRIC ORTHOPHOSPHATE), THIAMINE (THIAMINE MONONITRATE), FOLATE (FOLIC ACID), ADDS A TRIVIAL AMOUNT OF SATURATED FAT",165.0,4.51,2.26,33.1,0.0,0.8,11.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,1/4 cup,HARRIS TEETER,ORGANIC BASMATI RICE.,333.0,6.67,1.11,75.6,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,1 Tbsp,GOOD & GATHER,BASMATI RICE.,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 MG,1 Tbsp,ROYAL,WHITE BASMATI RICE,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 MG,0.25 cup,ROYAL,BASMATI RICE,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,0.25 cup,FIRST STREET,PUSA BASMATI RICE.,356.0,8.89,0.0,77.8,0.0,2.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,1/4 cup dry,BEST CHOICE,BASMATI RICE,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,1/4 cup,GIANT EAGLE,BASMATI RICE.,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",125.0 g,4.4 ONZ,HARRIS TEETER,"WATER, BASMATI WHITE RICE, CANOLA OIL.",176.0,3.2,1.2,37.6,0.0,1.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,1 Tbsp,VIGO,BASMATI RICE.,356.0,8.89,0.0,80.0,1.11,0.0,22.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,1/4 cup,SIGNATURE SELECT,WHITE BASMATI RICE.,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,45.0 g,0.25 cup,WINDMILL RICE,"LONG GRAIN RICE ENRICHED WITH IRON (FERRIC ORTHOPHOSPHATE), NIACIN, THIAMINE (THIAMINE MONONITRATE) AND FOLIC ACID.",356.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
RICE,45.0 g,0.25 cup,TEXAS,"LONG GRAIN WHITE RICE, THIAMINE (THIAMINE MONONITRATE), NIACIN, IRON (FERRIC ORTHOPHOSPHATE) AND FOLIC ACID (FOLATE).",356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,45.0 g,0.25 cup,Not specified,"CALROSE RICE ENRICHED WITH NIACIN, IRON, THIAMIN MONONITRATE, FOLIC ACID.",356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,47.0 g,0.25 cup,RICO,"ENRICHED MEDIUM GRAIN RICE, [RICE, NIACIN, IRON (FERRIC ORTHOPHOSPHATE), THIAMIN (THIAMIN MONONITRATE), FOLIC ACID].",340.0,6.38,0.0,78.7,0.0,2.1,0.0,0.0,True,Lunch
RICE,45.0 g,1/4 cup,RICESELECT,JASMATI RICE.,333.0,6.67,0.0,75.6,0.0,0.0,0.0,0.0,True,Lunch
RICE,45.0 g,0.25 cup,WEIS,"LONG GRAIN WHITE RICE ENRICHED WITH FERRIC PHOSPHATE, NIACIN, THIAMIN MONONITRATE AND FOLIC ACID. ",356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,144.0 g,1 cup,Not specified,"WATER, PARBOILED LONG GRAIN RICE, TOMATOES, POBLANO PEPPERS, VEGETABLE OIL (FROM ONE OR MORE OF THE FOLLOWING: CANOLA, SUNFLOWER), TOMATO POWDER, SALT, SUGAR, GARLIC POWDER, CUMIN, ONION POWDER, MALTODEXTRIN, NATURAL FLAVORS, PAPRIKA EXTRACT (FOR COLOR), CITRIC ACID.",139.0,3.47,2.43,26.4,1.39,1.4,465.0,0.0,True,Lunch
WHEAT FLOUR,15.0 g,5 CRACKERS,AHOLD,"INGREDIENTS:ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WHOLE GRAIN WHEAT FLOUR, CANOLA AND/OR PALM OIL WITH TBHQ ADDED FOR FRESHNESS, SUGAR, SALT, CONTAINS 2% OR LESS OF: LEAVENING (CALCIUM PHOSPHATE AND/OR BAKING SODA), HIGH FRUCTOSE CORN SYRUP, SOY LECITHIN, SODIUM SULFITE.",467.0,6.67,20.0,66.7,6.67,6.7,800.0,0.0,True,Unknown
WHEAT FLOUR,100.0 g,3.53 ONZ,Not specified,WHEAT FLOUR,334.0,10.3,1.1,70.0,0.0,0.0,0.0,0.0,True,Unknown
WHEAT FLOUR,100.0 g,3.53 ONZ,PZZ KRAKOW,100% WHEAT FLOUR.,345.0,11.8,1.1,70.7,1.4,2.6,1.0,0.0,True,Unknown
WHEAT FLOUR,100.0 g,3.53 ONZ,PZZ KRAKOW,100% WHEAT FLOUR.,344.0,11.5,1.2,70.6,3.4,2.5,1.0,0.0,True,Unknown
MAIDA ALL PURPOSE FLOUR,30.0 g,0.25 cup,DEEP,WHEAT FLOUR.,383.0,10.0,3.33,76.7,0.0,3.3,23.0,0.0,True,Unknown
"KARACHI'S FRUIT BISCUITS, KARACHI'S FRUIT",64.0 g,4 Pieces,Not specified,"REFINED WHEAT FLOUR (MAIDA), INTERESTERIFIED VEGETABLE FAT (REFINED RICE BRAN OIL, PALMOLEIN OIL, SESAME OIL/TIL OIL), SUGAR, CASHEW BITES, PAPAYA PIECES (ACIDITY REGULATORS-INS 330, PRESERVATIVES-INS 211 AND CONTAINS PERMITTED SYNTHETIC FOOD COLOR-INS 129 (FD& C RED NO.40), SKIMMED MILK POWDER (SMP), IODISED SALT, & CUSTARD POWDER (CORN FLOUR, EDIBLE STARCH, & CONTAINS PERMITTED SYNTHETIC FOOD COLOR-SUNSET YELLOW FCF (FD&C YELLOW NO 06) & TATRAZINE (FD&C YELLOW NO .05))",500.0,6.25,23.4,65.6,18.8,4.7,78.0,0.0,True,Snack
BARLEY,113.0 g,4 ONZ,FABI-SAA,BARLEY.,106.0,1.77,0.0,23.9,1.77,0.9,0.0,0.0,True,Unknown
BARLEY,56.0 g,2 ONZ,MI COSTENITA,BARLEY.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Unknown
BARLEY,48.0 g,0.25 cup,GOYA,OKRA.,354.0,10.4,1.04,77.1,0.0,14.6,0.0,0.0,True,Unknown
"BARLEY & MUSHROOM SOUP, BARLEY & MUSHROOM",213.0 g,1 pouch,TABATCHNICK,"WATER, BARLEY, CARROTS, MUSHROOMS, ONIONS, CELERY, MODIFIED FOOD STARCH, SPICES, CANOLA SOYBEAN OIL, NATURAL MUSHROOM FLAVOR(MALTODEXTRIN, MEDIUM CHAIN TRIGLYCERIDES, DRIED MUSHROOM, NATURAL FLAVORS), XANTHAN GUM, GARLIC, CARAMEL COLOR, NATURAL FLAVORS, GARLIC POWDER, ANNATTO EXTRACT",38.0,0.94,0.23,7.98,0.47,1.9,33.0,0.0,True,Lunch
"BARLEY & MUSHROOM SOUP, BARLEY & MUSHROOM",213.0 g,1 pouch,TABATCHNICK,"WATER, BARLEY, CARROTS, MUSHROOMS, ONIONS, CELERY, MODIFIED FOOD STARCH, SALT, SPICES, CANOLA/SOYBEAN OIL, NATURAL MUSHROOM FLAVOR(MALTODEXTRIN, MEDIUM CHAIN TRIGLYCERIDES, DRIED MUSHROOM, NATURAL FLAVORS), MIREPOIX (SAUTEED VEGETABLES [CARROTS, CELERY, ONIONS], SOYBEAN OIL, SALT, SUGAR, MALTODEXTRIN, MODIFIED CORN STARCH, NATURAL FLAVOR), XANTHAN GUM, GARLIC, CARAMEL COLOR, NATURAL FLAVORS, ANNATTO EXTRACT",38.0,0.94,0.23,7.98,0.47,1.9,235.0,0.0,True,Lunch
"BARLEY & MUSHROOM SOUP, BARLEY; MUSHROOM",312.0 GRM,1 bowl (312g),TABATCHNICK,"WATER, BARLEY, CARROTS, MUSHROOMS, ONIONS, CELERY, MODIFIED FOOD STARCH, SALT, SPICES, CANOLA/SOYBEAN OIL, NATURAL MUSHROOM FLAVOR (AUTOLYZED YEAST EXTRACT, SALT, NATURAL FLAVORS), MIREPOIX (SAUTEED VEGETABLES [CARROTS, CELERY, ONIONS], SOYBEAN OIL, SALT, SUGAR, MALTODEXTRIN, MODIFIED CORN STARCH, NATURAL FLAVOR), XANTHAN GUM, GARLIC, CARAMEL COLOR, NATURAL FLAVORS, ANNATTO EXTRACT",35.0,0.96,0.32,8.01,0.64,1.6,234.0,0.0,True,Lunch
"BARLEY & VEGETABLE SOUP, BARLEY & VEGETABLE",36.0 g,1/4 cup,GOYA,"PEARLED BARLEY, MALTODEXTRIN, CHICKEN FLAVOR (SALT, MONOSODIUM GLUTAMATE, SUGAR, YEAST EXTRACT, MALTODEXTRIN, GRANULATED ONION, CHICKEN FAT, NATURAL FLAVOR, SILICON DIOXIDE AS ANTICAKING AGENT, GRANULATED GARLIC, SPICES AND PARSLEY), DEHYDRATED GREEN PEAS. DEHYDRATED DICED CARROTS (CARROTS, SUGAR), DEHYDRATED DICED ONION, MONOSODIUM GLUTAMATE, DEHYDRATED RED BELL PEPPER, MODIFIED CORN STARCH WITH ERYTHORBIC ACID, SALT, DEHYDRATED MUSHROOM, CILANTRO AND SILICON DIOXIDE AS ANTICAKING AGENT.",306.0,8.33,0.0,72.2,5.56,13.9,2360.0,0.0,True,Lunch
"BARLEY GRASS JUICE POWDER, BARLEY",5.0 g,3 tsp,Not specified,ORGANIC BARLEY GRASS JUICE POWDER,400.0,40.0,0.0,40.0,20.0,0.0,1200.0,0.0,True,Unknown
"BARLEY WINE SALAMI, BARLEY WINE",28.0 g,1 ONZ,ELEVATION ARTISAN MEATS,"PORK, BARLEY WINE, SEA SALT, LESS THAN 2% OF THE FOLLOWING: SPICES, DEXTROSE, NATURAL FLAVORING (CELERY POWDER), LACTIC ACID STARTER CULTURE.",500.0,25.0,39.3,0.0,0.0,0.0,1860.0,125.0,True,Unknown
"BEEF BARLEY SOUP, BEEF BARLEY",224.0 g,1 cup,HEINEN'S,"WATER, COOKED BEEF, MUSHROOMS, ONIONS, TOMATOES (TOMATOES, SALT, CITRIC ACID), CELERY, CARROTS, PEARLED BARLEY, BROWN STOCK (VEAL STOCK [VEAL BONES, WATER), BEEF STOCK, MIREPOIX STOCK [CARROT, CELERY AND ONION STOCKS], RED WINE, TOMATO PASTE, GELATIN, SALT, CARROT STOCK, CELERY STOCK), CONTAINS LESS THAN 2% OF BEEF FAT, MODIFIED CORN STARCH, BEEF BASE (ROASTED BEEF INCLUDING NATURAL BEEF JUICES, SALT, HYDROLYZED SOY PROTEIN, SUGAR, NATURAL FLAVORINGS, YEAST EXTRACT, POTATO FLOUR, CARAMEL COLOR), SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), SUGAR, SALT, SPICES, GRANULATED GARLIC, PAPRIKA (COLOR).",54.0,3.57,1.79,0.0,1.34,1.3,228.0,0.0,True,Lunch
"BEEF BARLEY SOUP, BEEF BARLEY",454.0 g,1 container,HEINEN'S,"WATER, COOKED BEEF, MUSHROOMS, ONIONS, TOMATOES (TOMATOES, SALT, CITRIC ACID), CELERY, CARROTS, PEARLED BARLEY, BROWN STOCK (VEAL STOCK [VEAL BONES, WATER], BEEF STOCK, MIREPOIX STOCK [CARROT, CELERY AND ONION STOCKS], RED WINE, TOMATO PASTE, GELATIN, SALT, CARROT STOCK, CELERY STOCK), CONTAINS LESS THAN 2% OF BEEF FAT, MODIFIED CORN STARCH, BEEF BASE (ROASTED BEEF INCLUDING NATURAL BEEF JUICES, SALT, HYDROLYZED SOY PROTEIN, SUGAR, NATURAL FLAVORINGS, YEAST EXTRACT, POTATO FLOUR, CARAMEL COLOR), SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), SUGAR, SALT, SPICES, GRANULATED GARLIC, PAPRIKA (COLOR).",53.0,3.52,1.76,5.95,1.1,1.3,229.0,7710.0,True,Lunch
"MUSHROOM & BARLEY SOUP, MUSHROOM & BARLEY",227.0 g,1 cup,OASIS MEDITERRANEAN CUISINE,"BARLEY, MUSHROOM, CHICK PEA PASTE, WATER, ONION, OLIVE OIL, SALT.",57.0,2.11,2.07,8.11,1.06,2.2,114.0,0.0,True,Lunch
"MUSHROOM BARLEY SOUP, MUSHROOM BARLEY",227.0 g,1 cup,WHOLE FOODS MARKET,"VEGETABLE BROTH (WATER, VEGETABLE STOCK CONCENTRATE [NATURAL FLAVOR, SALT, VEGETABLE OILS [OLIVE, PALM], AND XANTHAN GUM], MUSHROOM STOCK CONCENTRATE [MUSHROOM JUICE, NATURAL FLAVOR AND SALT]), CRIMINI MUSHROOM, CARROT, CELERY, ONION, BARLEY, CORNSTARCH, SUNFLOWER OIL, GARLIC (GARLIC, WATER, CITRIC ACID), SALT, EXTRA VIRGIN OLIVE OIL, BALSAMIC VINEGAR, PORCINI MUSHROOM, THYME, BLACK PEPPER.",35.0,1.32,0.88,6.61,1.32,1.3,256.0,0.0,True,Lunch
"WHEAT & BARLEY CEREAL, WHEAT & BARLEY",58.0 g,1/2 cup,AHOLD,"WHOLE GRAIN WHEAT FLOUR, MALTED BARLEY FLOUR, SALT, DRIED YEAST. VITAMINS AND MINERALS: REDUCED IRON, NIACINAMIDE (VITAMIN B3), ZINC OXIDE (SOURCE OF ZINC), PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), THIAMIN MONONITRATE (VITAMIN B1), FOLIC ACID.",345.0,10.3,1.72,81.0,8.62,12.1,483.0,0.0,True,Breakfast
BARLEY CEBADA,33.0 g,0.25 cup,RITA,DRY BARLEY,303.0,9.09,0.0,72.7,0.0,15.2,0.0,0.0,True,Unknown
BARLEY FINE,33.0 g,3 Tbsp,EAGLE,PEARLED BARLEY.,515.0,15.2,3.03,112.0,0.0,15.2,0.0,0.0,True,Unknown
BARLEY FLAKES,28.0 g,1/4 CUP,TONY'S,BARLEY,29.0,10.7,1.79,64.3,0.0,10.7,0.0,0.0,True,Unknown
BARLEY FLOUR,30.0 GRM,1 Tbsp,BOB'S RED MILL,BARLEY.,367.0,10.0,0.0,76.7,0.0,16.7,10.0,0.0,True,Unknown
BARLEY FLOUR,30.0 GRM,1/4 cup,Not specified,BARLEY.,367.0,10.0,1.67,80.0,0.0,10.0,0.0,0.0,True,Unknown
BARLEY FLOUR,33.0 g,1/4 cup,BOB'S RED MILL,BARLEY.,394.0,9.09,1.52,81.8,0.0,9.1,0.0,0.0,True,Unknown
BARLEY PEARL,36.0 g,0.25 cup,SADAF,BARLEY PEARL,278.0,11.1,0.0,72.2,0.0,13.9,0.0,0.0,True,Unknown
BARLEY RISOTTO,153.0 g,0.666 cup,CUISINE SOLUTIONS,"PEARLED BARLEY (BARLEY, MAY CONTAIN TRACE AMOUNTS OF WHEAT), PORTOBELLO MUSHROOMS, SPINACH, PEARL ONIONS, VEGETABLE BASE (VEGETABLES (CARROT, CELERY, ONION), CANE SUGAR, CANOLA OIL, DRIED POTATO, SALT, YEAST EXTRACT, NATURAL FLAVOR), WHITE WINE, HEAVY WHIPPING CREAM (CREAM (MIN. 40% MILKFAT)), SHALLOTS, MUSHROOM POWDER (CHAMPIGNON MUSHROOMS), EXTRA VIRGIN OLIVE OIL, GARLIC, THYME, BLACK PEPPER, BAY LEAVES.",137.0,3.27,3.92,20.9,1.96,3.3,242.0,3.0,True,Unknown
BARLEY SOUP,252.0 g,1 cup,SADAF,"WATER, POTATOES, CARROTS, LEEKS, ONION, BARLEY, TOMATO PASTE, PARSLEY, CHICKEN BROTH CONTAINS LESS THAN 2% OF THE FOLLOWING: (CHICKEN, SPICES, SALT, SUGAR, CHICKEN FAT, HYDROLYZED CORN AND GLUTEN, AUTOLYZED YEAST EXTRACT, MODIFIED FOOD STARCH, ONION POWDER, DISODIUM INOSINATE, DISODIUM GUANYLATE, OLEORESIN OF PAPRIKA, BUTTER), AND LEMON JUICE (FILTERED WATER, LEMON JUICE CONCENTRATE, NATURAL LEMON FLAVOR WONF, LEMON OIL, CITRIC ACID, SODIUM BENZOATE AND SODIUM BISULFITE AS PRESERVATIVES).",48.0,1.19,1.79,7.14,1.19,1.6,302.0,4.0,True,Lunch
BARLEY TEA,340.0 ml,1 CAN,ITO EN,"PURIFIED WATER, BARLEY, ASCORBIC ACID (VITAMIN C).",0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,True,Unknown
BLACK BARLEY,45.0 g,0.25 cup,HY-VEE SELECT,BLACK BARLEY.,378.0,15.6,3.33,73.3,0.0,17.8,0.0,0.0,True,Unknown
FINE BARLEY,45.0 g,0.25 cup,BASCOM'S,PEARLED BARLEY,356.0,8.89,0.0,77.8,2.22,4.4,0.0,0.0,True,Unknown
HULLED BARLEY,46.0 g,0.25 CUP DRY,SHILOH FARMS,ORGANIC WHOLE GRAIN HULLED BARLEY,352.0,13.0,2.17,73.9,0.0,17.4,12.0,0.0,True,Unknown
MEDIUM BARLEY,45.0 g,0.25 cup,BASCOM'S,PEARLED BARLEY,356.0,8.89,0.0,77.8,2.22,4.4,0.0,0.0,True,Unknown
ORGANIC BARLEY,45.0 g,1/4 cup,O ORGANICS,ORGANIC PRE-COOKED BARLEY.,378.0,11.1,1.11,82.2,0.0,11.1,0.0,0.0,True,Unknown
PEARL BARLEY,50.0 g,0.25 cup,GIANT EAGLE,PEARLED BARLEY.,360.0,10.0,1.0,78.0,0.0,16.0,0.0,0.0,True,Unknown
PEARL BARLEY,55.0 g,1/4 cup,OUR FAMILY,PEARL BARLEY.,345.0,9.09,0.91,78.2,0.0,16.4,0.0,0.0,True,Unknown
PEARL BARLEY,35.0 g,1/4 cup,SPRINGFIELD,PEARLED BARLEY.,343.0,11.4,2.86,77.1,0.0,5.7,0.0,0.0,True,Unknown
PEARL BARLEY,54.0 GRM,1/4 cup,BOB'S RED MILL,PEARL BARLEY.,370.0,9.26,0.93,81.5,1.85,11.1,0.0,0.0,True,Unknown
PEARL BARLEY,50.0 g,1/4 cup,RALEY'S,PEARL BARLEY.,360.0,10.0,1.0,78.0,0.0,16.0,0.0,0.0,True,Unknown
PEARL BARLEY,33.0 g,1/4 cup,GEFEN,PEARL BARLEY.,303.0,9.09,0.0,72.7,0.0,15.2,0.0,0.0,True,Unknown
PEARL BARLEY,50.0 g,1/4 cup,AMBERYE,PEARL BARLEY.,340.0,8.0,2.0,66.0,0.0,10.0,0.0,0.0,True,Unknown
PEARL BARLEY,50.0 g,0.25 cup,C&F FOODS,PEARLED BARLEY.,360.0,10.0,1.0,78.0,0.0,16.0,0.0,0.0,True,Unknown
PEARL BARLEY,35.0 g,1/4 cup,GIANT EAGLE,PEARL BARLEY.,343.0,8.57,0.0,77.1,0.0,14.3,0.0,0.0,True,Unknown
SEMOLINA,46.0 g,46 GRM,Not specified,(SEMOLINA),376.0,10.9,2.17,78.3,0.0,2.2,22.0,0.0,True,Unknown
SEMOLINA,42.0 g,0.25 cup dry,AMBERYE,SEMOLINA (FROM WHEAT).,310.0,9.52,0.0,64.3,0.0,2.4,0.0,0.0,True,Unknown
"CHEESE SEMOLINA LOAF, CHEESE SEMOLINA",57.0 GRM,1.33 INCH SLICE,ARCHER FARMS,"WATER, DURUM FLOUR (NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SEMOLINA FLOUR, UNBLEACHED BREAD FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), ASIAGO CHEESE (CULTURED MILK, ENZYMES, SALT), ROMANO CHEESE (PASTEURIZED SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), PARMESAN CHEESE (CULTURED MILK, ENZYMES, SALT, CELLULOSE TO PREVENT CAKING), CONTAINS LESS THAN 2% OF: WHEAT GLUTEN, SALT, RYE FLOUR, MALT (MALTED BARLEY, WHEAT FLOUR, DEXTROSE), WHEAT FLOUR, ASCORBIC ACID ADDED AS DOUGH CONDITIONER, ENZYMES, YEAST.",263.0,10.5,4.39,42.1,0.0,1.8,614.0,9.0,True,Breakfast
"SESAME SEMOLINA BREAD, SESAME SEMOLINA",66.0 g,0.33 LOAF,PANERA BREAD,"UNBLEACHED ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, MALTED BARLEY FLOUR], WATER, ENRICHED SEMOLINA FLOUR (SEMOLINA WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SESAME SEEDS, SALT, MALT, YEAST.",227.0,10.6,0.76,45.4,0.0,3.0,500.0,0.0,True,Breakfast
"SESAME SEMOLINA LOAF, SESAME SEMOLINA",57.0 g,2 ONZ,LA BREA BAKERY,"WATER, UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SEMOLINA, DURUM FLOUR, SOUR CULTURE, SESAME SEEDS, SALT, WHOLE WHEAT FLOUR, YEAST.",281.0,10.5,1.75,52.6,0.0,3.5,667.0,0.0,True,Unknown
"SEMOLINA, RIGATONI",57.0 g,2 ONZ,SEMOLINA,ORGANIC SEMOLINA FLOUR (MILLED FROM DURUM WHEAT) AND WATER.,368.0,12.3,1.75,73.7,1.75,3.5,0.0,0.0,True,Unknown
FINE SEMOLINA,100.0 g,100 GRM,Not specified,100% DURUM WHEAT SEMOLINA.,1500.0,11.0,1.1,73.1,0.0,0.0,0.0,0.0,True,Unknown
SEMOLINA FLOUR,45.0 GRM,1/4 cup,BOB'S RED MILL,"ENRICHED DURUM FLOUR (DURUM WHEAT, NIACIN, IRON, THIAMIN, RIBOFLAVIN, FOLIC ACID).",356.0,13.3,2.22,73.3,0.0,2.2,0.0,0.0,True,Unknown
